type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.398056
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.417506
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.436278
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.458229
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.476299
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.495759
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.519757
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.537620
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.555869
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.576543
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.598509
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.616610
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.639464
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.672598
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.676200
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.844242
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.844242
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.844242
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.845504
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.845504
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.845504
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.845504
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.845504
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.858717
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.878493
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.897498
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.917502
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.936589
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.956551
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.976545
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:31.995767
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.015598
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.035710
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.056485
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.076611
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.098619
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.116656
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.136597
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.158476
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.177594
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.196595
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.216579
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.236596
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.255930
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.276562
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.295928
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.316110
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.336434
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.356966
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.376187
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.401948
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.421462
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.438111
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.459026
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.478995
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.496922
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.522405
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.536539
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.557586
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.576191
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.596445
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.619488
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.636949
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.657263
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.678392
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.696207
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.716417
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.735805
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.755969
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.776569
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.798647
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.816442
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.836864
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.856577
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.878555
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.899712
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.919683
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.937568
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.956609
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.976559
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:32.996598
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:08:33.015620
