roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,timestamp,datetime
0,0,0,0,0,0,0,0,0,1780714644.003807,2026-06-05T23:57:24.003807
0,0,0,0,0,0,0,0,0,1780714644.010902,2026-06-05T23:57:24.010902
0,0,0,0,0,0,0,0,0,1780714644.0182476,2026-06-05T23:57:24.018248
0,0,0,0,0,0,0,0,0,1780714644.0182476,2026-06-05T23:57:24.018248
0,0,0,0,0,0,0,0,0,1780714644.0273216,2026-06-05T23:57:24.027322
0,0,0,0,0,0,0,0,0,1780714644.0494075,2026-06-05T23:57:24.049407
0,0,0,0,0,0,0,0,0,1780714644.1166873,2026-06-05T23:57:24.116687
0,0,0,0,0,0,0,0,0,1780714644.1194572,2026-06-05T23:57:24.119457
0,0,0,0,0,0,0,0,0,1780714644.132481,2026-06-05T23:57:24.132481
0,0,0,0,0,0,0,0,0,1780714644.1514583,2026-06-05T23:57:24.151458
0,0,0,0,0,0,0,0,0,1780714644.1683562,2026-06-05T23:57:24.168356
0,0,0,0,0,0,0,0,0,1780714644.1940787,2026-06-05T23:57:24.194079
0,0,0,0,0,0,0,0,0,1780714644.2098243,2026-06-05T23:57:24.209824
0,0,0,0,0,0,0,0,0,1780714644.2497022,2026-06-05T23:57:24.249702
0,0,0,0,0,0,0,0,0,1780714644.2548025,2026-06-05T23:57:24.254802
0,0,0,0,0,0,0,0,0,1780714644.2740226,2026-06-05T23:57:24.274023
0,0,0,0,0,0,0,0,0,1780714644.291981,2026-06-05T23:57:24.291981
0,0,0,0,0,0,0,0,0,1780714644.3464303,2026-06-05T23:57:24.346430
0,0,0,0,0,0,0,0,0,1780714644.3569512,2026-06-05T23:57:24.356951
0,0,0,0,0,0,0,0,0,1780714644.3569512,2026-06-05T23:57:24.356951
0,0,0,0,0,0,0,0,0,1780714644.3774161,2026-06-05T23:57:24.377416
0,0,0,0,0,0,0,0,0,1780714644.3909485,2026-06-05T23:57:24.390949
0,0,0,0,0,0,0,0,0,1780714644.4111497,2026-06-05T23:57:24.411150
