type,roll,pitch,yaw,alt,lat,lon,spd,vbat,rssi,datetime
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.271406
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.290730
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.310447
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.351963
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.368800
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.389768
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.408008
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.431048
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.448092
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.468113
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.488112
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.509080
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.547080
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.576907
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.744720
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.744720
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.746055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.746055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.746055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.746055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.746055
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.748063
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.768782
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.788171
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.808113
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.851123
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.868789
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.888042
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.907511
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.927948
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.948085
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.967846
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:17.987977
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.009128
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.047957
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.067491
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.090919
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.114087
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.150389
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.170936
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.188084
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.210852
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.227901
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.247828
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.267855
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.290280
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.308760
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.350335
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.368439
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.389011
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.408323
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.447931
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.467867
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.491071
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.509050
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.550864
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.569096
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.589107
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.609103
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.629057
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.651025
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.668762
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.690967
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.707958
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.748053
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.766956
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.790219
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.809039
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.827242
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.848440
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.870905
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.888432
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.909087
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.947764
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.970945
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:18.988988
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:19.010919
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:19.027909
telemetry,0,0,0,0,0,0,0,0,0,2026-06-06T00:13:19.047966
